user,error,success
10.50.50.46,0,30
10.50.50.31,0,30
10.50.50.26,0,30
10.50.50.44,0,30
10.50.50.37,0,31
10.50.50.28,0,3
10.50.50.29,0,3
10.50.50.27,0,3
10.5.71.60,0,4
10.63.120.70,0,4
10.7.133.20,0,1
10.50.50.49,0,2
10.50.50.43,0,1
10.64.105.156,1,180
10.64.105.202,3,200
10.64.105.56,3,212
10.64.105.115,3,208
10.64.105.5,3,189
10.64.106.22,4,174
10.64.105.174,5,149
10.64.105.172,5,178
10.64.105.218,5,176
10.64.105.16,5,271
10.64.105.186,5,200
10.64.105.181,6,211
10.64.105.95,6,199
10.64.105.60,6,169
10.64.105.23,6,188
10.64.105.91,6,228
10.64.105.53,6,217
10.64.105.178,6,177
10.64.105.96,6,185
10.64.105.40,6,193
10.64.105.168,6,182
10.64.105.139,6,238
10.64.105.94,6,192
10.64.105.228,6,185
10.64.105.204,6,172
10.64.105.98,7,186
10.64.105.196,7,228
10.64.105.19,7,199
10.64.106.37,7,172
10.64.105.49,7,210
10.64.105.51,7,201
10.64.105.247,7,207
10.64.105.108,7,198
10.64.105.241,7,199
10.64.105.32,7,177
10.64.105.224,7,178
10.64.105.173,7,188
10.64.106.40,7,184
10.64.105.61,7,196
10.64.105.20,8,216
10.64.105.55,8,196
10.64.105.136,8,205
10.64.105.141,8,200
10.64.105.232,8,212
10.64.105.132,8,210
10.64.105.102,8,206
10.64.105.148,8,274
10.64.106.26,8,207
10.64.105.162,8,205
10.64.105.179,8,220
10.64.105.219,8,210
10.64.105.97,8,210
10.64.105.47,8,207
10.64.106.41,8,195
10.64.105.66,8,153
10.64.105.171,8,119
10.64.105.38,8,214
10.64.105.7,8,150
10.64.105.142,9,243
10.64.105.152,9,169
10.64.105.119,9,263
10.64.105.78,9,274
10.64.105.212,9,270
10.64.105.37,9,195
10.64.105.188,9,270
10.64.105.239,9,197
10.64.105.28,9,271
10.64.105.175,9,209
10.64.105.128,9,234
10.64.105.244,9,209
10.64.105.127,9,288
10.64.105.151,9,264
10.64.105.117,9,217
10.64.105.113,10,236
10.64.105.79,10,176
10.64.105.130,10,172
10.64.105.201,10,261
10.64.105.14,10,237
10.64.105.11,10,202
10.64.105.143,10,245
10.64.106.50,10,195
10.64.105.206,10,212
10.64.105.134,10,245
10.64.105.76,10,283
10.64.105.167,10,186
10.64.105.194,10,209
10.64.105.9,11,295
10.64.105.190,11,295
10.64.105.200,11,267
10.64.105.237,11,242
10.64.105.69,11,218
10.64.105.58,11,278
10.64.105.222,11,252
10.64.105.240,11,278
10.64.106.33,11,197
10.64.105.35,11,194
10.64.105.129,11,267
10.64.106.47,11,287
10.64.105.182,11,261
10.64.105.33,11,191
10.64.105.123,11,245
10.64.105.118,11,199
10.64.105.86,11,200
10.64.105.233,11,283
10.64.105.109,11,245
10.64.105.17,12,258
10.64.105.229,12,267
10.64.105.220,12,239
10.64.105.64,12,197
10.64.105.226,12,272
10.64.106.25,12,265
10.64.105.3,12,234
10.64.105.39,12,237
10.64.105.44,12,244
10.64.105.155,12,290
10.64.105.191,12,192
10.64.105.166,12,178
10.64.105.111,12,222
10.64.105.246,12,213
10.64.105.165,12,258
10.64.105.214,12,261
10.64.106.24,12,260
10.64.105.153,12,263
10.64.105.207,12,194
10.64.106.48,12,251
10.64.105.164,12,312
10.64.105.223,12,195
10.64.106.19,12,293
10.64.105.26,12,188
10.64.105.145,12,282
10.64.105.45,12,237
10.64.105.120,13,325
10.64.105.101,13,263
10.64.105.6,13,258
10.64.105.67,13,284
10.64.105.140,13,261
10.64.106.51,13,297
10.64.105.251,13,260
10.64.105.144,13,226
10.64.105.10,13,189
10.64.105.68,13,256
10.64.105.221,13,262
10.64.105.135,13,295
10.64.105.126,13,275
10.64.105.42,13,270
10.64.105.70,13,291
10.64.105.131,13,294
10.64.105.216,13,266
10.64.105.114,13,271
10.64.105.25,14,264
10.64.106.21,14,259
10.64.105.163,14,291
